Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.132278,0.132278,0.933861,0.127602,0.95902
0.264555,0.255807,0.854599,0.244745,0.903436
0.396833,0.368851,0.76424,0.349996,0.835183
0.52911,0.469943,0.664903,0.442224,0.756297
0.661388,0.557894,0.558764,0.520606,0.668875
0.793666,0.631806,0.448011,0.584622,0.575034
0.925943,0.691068,0.334807,0.634039,0.47687
1.05822,0.735356,0.22125,0.668905,0.376423
1.1905,0.764622,0.109346,0.689526,0.275644
1.32278,0.779086,0.000971377,0.696441,0.176363
1.45505,0.779215,-0.102149,0.690405,0.0802682
1.58733,0.765703,-0.198465,0.672355,-0.0111182
1.71961,0.73945,-0.286624,0.643383,-0.0964563
1.85189,0.701536,-0.36548,0.604708,-0.1746
1.98416,0.653191,-0.434105,0.557648,-0.244607
2.11644,0.595769,-0.491796,0.503583,-0.30574
2.24872,0.530715,-0.538077,0.443933,-0.357469
2.381,0.45954,-0.572691,0.380127,-0.399466
2.51327,0.383786,-0.5956,0.313576,-0.431601
2.64555,0.305001,-0.606974,0.245653,-0.453927
2.77783,0.224712,-0.607175,0.177664,-0.46667
2.91011,0.144396,-0.596741,0.110835,-0.470216
3.04238,0.065461,-0.576374,0.0462926,-0.46509
3.17466,-0.0107804,-0.546912,-0.0149508,-0.451937
3.30694,-0.0831246,-0.509314,-0.0720062,-0.431509
3.43922,-0.150495,-0.464633,-0.124117,-0.404637
3.5715,-0.211956,-0.413996,-0.170663,-0.372218
3.70377,-0.266718,-0.358577,-0.211165,-0.335187
3.83605,-0.31415,-0.299581,-0.245282,-0.294506
3.96833,-0.353778,-0.238212,-0.272809,-0.251139
4.10061,-0.385288,-0.17566,-0.293675,-0.206036
4.23288,-0.408524,-0.113077,-0.307931,-0.160119
4.36516,-0.423481,-0.0515596,-0.315743,-0.114265
4.49744,-0.430302,0.00786756,-0.317384,-0.0692926
4.62972,-0.429261,0.0642665,-0.31322,-0.025954
4.76199,-0.42076,0.116798,-0.303696,0.015077
4.89427,-0.40531,0.16473,-0.289326,0.0532113
5.02655,-0.38352,0.207448,-0.27068,0.0879492
5.15883,-0.356079,0.244459,-0.248365,0.118884
5.2911,-0.323743,0.275392,-0.223017,0.145704
5.42338,-0.287315,0.300002,-0.195285,0.168191
5.55566,-0.247631,0.318165,-0.165821,0.186217
5.68794,-0.205545,0.329878,-0.135264,0.199745
5.82021,-0.16191,0.33525,-0.104233,0.208819
5.95249,-0.117564,0.334494,-0.0733158,0.213562
6.08477,-0.0733175,0.327922,-0.0430604,0.214165
6.21705,-0.0299408,0.315932,-0.0139679,0.210883
6.34932,0.0118499,0.298997,0.0135136,0.204024
6.4816,0.0514004,0.277654,0.0389937,0.193938
6.61388,0.0881279,0.252491,0.0621426,0.181015
6.74616,0.121527,0.224134,0.0826938,0.165667
6.87843,0.151175,0.193235,0.100444,0.148326
7.01071,0.176735,0.160458,0.115255,0.129431
7.14299,0.19796,0.126467,0.127047,0.10942
7.27527,0.214689,0.091917,0.135803,0.0887245
7.40755,0.226848,0.0574392,0.141559,0.0677599
7.53982,0.234446,0.0236334,0.144404,0.0469198
7.6721,0.237572,-0.00894162,0.144474,0.0265707
7.80438,0.236389,-0.0397757,0.141944,0.0070467
7.93666,0.231128,-0.0684139,0.137026,-0.0113543
8.06893,0.222078,-0.0944621,0.129962,-0.0283739
8.20121,0.209583,-0.11759,0.121015,-0.0437944
8.33349,0.194028,-0.137536,0.110468,-0.0574415
8.46577,0.175835,-0.154105,0.0986111,-0.0691834
8.59804,0.155451,-0.167172,0.0857421,-0.0789312
8.73032,0.133337,-0.176678,0.0721566,-0.0866374
8.8626,0.109967,-0.18263,0.0581445,-0.0922943
8.99488,0.0858089,-0.185098,0.0439848,-0.0959314
9.12715,0.0613247,-0.184206,0.0299412,-0.0976126
9.25943,0.0369584,-0.180135,0.0162586,-0.097433
9.39171,0.0131306,-0.17311,0.0031597,-0.0955148
9.52399,-0.00976796,-0.163397,-0.00915765,-0.0920037
9.65626,-0.0313818,-0.151298,-0.0205222,-0.0870649
9.78854,-0.0513951,-0.13714,-0.0307908,-0.0808783
9.92082,-0.0695357,-0.121272,-0.0398492,-0.0736349
10.0531,-0.0855773,-0.104053,-0.0476121,-0.0655325
10.1854,-0.0993411,-0.0858511,-0.054023,-0.0567715
10.3177,-0.110697,-0.0670324,-0.0590533,-0.0475515
10.4499,-0.119564,-0.0479562,-0.062701,-0.0380675
10.5822,-0.125908,-0.0289687,-0.064989,-0.0285067
10.7145,-0.12974,-0.010398,-0.0659632,-0.0190458
10.8468,-0.131115,0.00745135,-0.0656903,-0.00984828
10.979,-0.130129,0.0243021,-0.0642549,-0.0010625
11.1113,-0.126915,0.039908,-0.0617573,0.00718009
11.2436,-0.121636,0.0540565,-0.0583103,0.0147662
11.3759,-0.114485,0.066571,-0.0540365,0.0216016
11.5082,-0.10568,0.0773119,-0.0490657,0.0276115
11.6404,-0.0954529,0.0861776,-0.0435317,0.0327409
11.7727,-0.0840535,0.0931042,-0.0375699,0.0369539
11.905,-0.0717379,0.0980648,-0.0313149,0.0402335
12.0373,-0.0587661,0.101068,-0.0248978,0.0425805
12.1695,-0.0453971,0.102157,-0.0184441,0.0440126
12.3018,-0.031884,0.101406,-0.0120722,0.0445624
12.4341,-0.0184703,0.0989163,-0.00589119,0.0442767
