Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.132278,0.127903,0.9273,0.127602,0.95902
0.264555,0.245389,0.843525,0.244745,0.903436
0.396833,0.351132,0.750815,0.349996,0.835183
0.52911,0.444091,0.65132,0.442224,0.756297
0.661388,0.523512,0.547168,0.520606,0.668875
0.793666,0.588917,0.44043,0.584622,0.575034
0.925943,0.640097,0.333086,0.634039,0.47687
1.05822,0.6771,0.227,0.668905,0.376423
1.1905,0.70021,0.123894,0.689526,0.275644
1.32278,0.70993,0.0253275,0.696441,0.176363
1.45505,0.706959,-0.0673162,0.690405,0.0802682
1.58733,0.692164,-0.152845,0.672355,-0.0111182
1.71961,0.666559,-0.230263,0.643383,-0.0964563
1.85189,0.631276,-0.298778,0.604708,-0.1746
1.98416,0.587539,-0.357799,0.557648,-0.244607
2.11644,0.536635,-0.406935,0.503583,-0.30574
2.24872,0.479892,-0.445988,0.443933,-0.357469
2.381,0.41865,-0.474944,0.380127,-0.399466
2.51327,0.354241,-0.493962,0.313576,-0.431601
2.64555,0.287962,-0.50336,0.245653,-0.453927
2.77783,0.221061,-0.503596,0.177664,-0.46667
2.91011,0.154716,-0.495259,0.110835,-0.470216
3.04238,0.090017,-0.479042,0.0462926,-0.46509
3.17466,0.0279583,-0.455729,-0.0149508,-0.451937
3.30694,-0.0305755,-0.426174,-0.0720062,-0.431509
3.43922,-0.084817,-0.39128,-0.124117,-0.404637
3.5715,-0.134121,-0.351985,-0.170663,-0.372218
3.70377,-0.177968,-0.309241,-0.211165,-0.335187
3.83605,-0.215964,-0.263997,-0.245282,-0.294506
3.96833,-0.24784,-0.217182,-0.272809,-0.251139
4.10061,-0.27345,-0.169693,-0.293675,-0.206036
4.23288,-0.292762,-0.122381,-0.307931,-0.160119
4.36516,-0.305854,-0.0760387,-0.315743,-0.114265
4.49744,-0.312904,-0.0313909,-0.317384,-0.0692926
4.62972,-0.314181,0.0109126,-0.31322,-0.025954
4.76199,-0.310037,0.0503041,-0.303696,0.015077
4.89427,-0.30089,0.0863017,-0.289326,0.0532113
5.02655,-0.28722,0.118512,-0.27068,0.0879492
5.15883,-0.269549,0.146633,-0.248365,0.118884
5.2911,-0.248436,0.170449,-0.223017,0.145704
5.42338,-0.224461,0.189833,-0.195285,0.168191
5.55566,-0.198217,0.204741,-0.165821,0.186217
5.68794,-0.170296,0.215209,-0.135264,0.199745
5.82021,-0.14128,0.221345,-0.104233,0.208819
5.95249,-0.111734,0.223323,-0.0733158,0.213562
6.08477,-0.0821923,0.221379,-0.0430604,0.214165
6.21705,-0.0531582,0.215797,-0.0139679,0.210883
6.34932,-0.025092,0.206908,0.0135136,0.204024
6.4816,0.00159165,0.195075,0.0389937,0.193938
6.61388,0.0265284,0.180689,0.0621426,0.181015
6.74616,0.049407,0.16416,0.0826938,0.165667
6.87843,0.0699714,0.145906,0.100444,0.148326
7.01071,0.0880211,0.126349,0.115255,0.129431
7.14299,0.103411,0.105905,0.127047,0.10942
7.27527,0.116052,0.0849793,0.135803,0.0887245
7.40755,0.125906,0.0639578,0.141559,0.0677599
7.53982,0.132985,0.0432042,0.144404,0.0469198
7.6721,0.137348,0.023054,0.144474,0.0265707
7.80438,0.139095,0.00381078,0.141944,0.0070467
7.93666,0.138365,-0.0142569,0.137026,-0.0113543
8.06893,0.135331,-0.0309178,0.129962,-0.0283739
8.20121,0.130193,-0.0459794,0.121015,-0.0437944
8.33349,0.123173,-0.0592887,0.110468,-0.0574415
8.46577,0.114512,-0.0707326,0.0986111,-0.0691834
8.59804,0.104463,-0.0802368,0.0857421,-0.0789312
8.73032,0.0932868,-0.0877647,0.0721566,-0.0866374
8.8626,0.0812452,-0.0933159,0.0581445,-0.0922943
8.99488,0.068599,-0.0969233,0.0439848,-0.0959314
9.12715,0.0556021,-0.098651,0.0299412,-0.0976126
9.25943,0.0424979,-0.0985907,0.0162586,-0.097433
9.39171,0.029516,-0.0968588,0.0031597,-0.0955148
9.52399,0.0168692,-0.0935923,-0.00915765,-0.0920037
9.65626,0.00475085,-0.0889457,-0.0205222,-0.0870649
9.78854,-0.00666717,-0.083087,-0.0307908,-0.0808783
9.92082,-0.0172359,-0.0761938,-0.0398492,-0.0736349
10.0531,-0.0268306,-0.06845,-0.0476121,-0.0655325
10.1854,-0.0353508,-0.0600419,-0.054023,-0.0567715
10.3177,-0.0427211,-0.0511554,-0.0590533,-0.0475515
10.4499,-0.0488903,-0.0419722,-0.062701,-0.0380675
10.5822,-0.0538309,-0.0326676,-0.064989,-0.0285067
10.7145,-0.0575383,-0.0234075,-0.0659632,-0.0190458
10.8468,-0.0600288,-0.0143464,-0.0656903,-0.00984828
10.979,-0.0613386,-0.00562554,-0.0642549,-0.0010625
11.1113,-0.0615215,0.00262884,-0.0617573,0.00718009
11.2436,-0.060647,0.0103065,-0.0583103,0.0147662
11.3759,-0.0587982,0.0173142,-0.0540365,0.0216016
11.5082,-0.0560692,0.0235759,-0.0490657,0.0276115
11.6404,-0.0525633,0.0290334,-0.0435317,0.0327409
11.7727,-0.0483899,0.0336456,-0.0375699,0.0369539
11.905,-0.0436632,0.0373888,-0.0313149,0.0402335
12.0373,-0.038499,0.0402553,-0.0248978,0.0425805
12.1695,-0.0330134,0.0422529,-0.0184441,0.0440126
12.3018,-0.0273203,0.0434036,-0.0120722,0.0445624
12.4341,-0.0215299,0.0437425,-0.00589119,0.0442767
