Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.132278,0.127903,0.926495,0.127602,0.95902
0.264555,0.245109,0.840548,0.244745,0.903436
0.396833,0.350274,0.745577,0.349996,0.835183
0.52911,0.442355,0.643842,0.442224,0.756297
0.661388,0.520606,0.53757,0.520606,0.668875
0.793666,0.584572,0.42892,0.584622,0.575034
0.925943,0.634079,0.319952,0.634039,0.47687
1.05822,0.669217,0.212592,0.668905,0.376423
1.1905,0.690321,0.108613,0.689526,0.275644
1.32278,0.697951,0.00961107,0.696441,0.176363
1.45505,0.692864,-0.0830114,0.690405,0.0802682
1.58733,0.67599,-0.168056,0.672355,-0.0111182
1.71961,0.648404,-0.244534,0.643383,-0.0964563
1.85189,0.611297,-0.311676,0.604708,-0.1746
1.98416,0.565949,-0.368924,0.557648,-0.244607
2.11644,0.513696,-0.41593,0.503583,-0.30574
2.24872,0.455912,-0.45255,0.443933,-0.357469
2.381,0.393972,-0.478829,0.380127,-0.399466
2.51327,0.329235,-0.494992,0.313576,-0.431601
2.64555,0.263019,-0.501425,0.245653,-0.453927
2.77783,0.196581,-0.498659,0.177664,-0.46667
2.91011,0.131097,-0.48735,0.110835,-0.470216
3.04238,0.0676498,-0.468262,0.0462926,-0.46509
3.17466,0.00721548,-0.442243,-0.0149508,-0.451937
3.30694,-0.049348,-0.410207,-0.0720062,-0.431509
3.43922,-0.101307,-0.373113,-0.124117,-0.404637
3.5715,-0.148057,-0.331943,-0.170663,-0.372218
3.70377,-0.189124,-0.287688,-0.211165,-0.335187
3.83605,-0.224166,-0.241326,-0.245282,-0.294506
3.96833,-0.252968,-0.193808,-0.272809,-0.251139
4.10061,-0.275439,-0.146041,-0.293675,-0.206036
4.23288,-0.291604,-0.0988788,-0.307931,-0.160119
4.36516,-0.301598,-0.0531054,-0.315743,-0.114265
4.49744,-0.305653,-0.00943019,-0.317384,-0.0692926
4.62972,-0.304093,0.0315214,-0.31322,-0.025954
4.76199,-0.297314,0.0692129,-0.303696,0.015077
4.89427,-0.285782,0.103201,-0.289326,0.0532113
5.02655,-0.270012,0.133135,-0.27068,0.0879492
5.15883,-0.250561,0.158759,-0.248365,0.118884
5.2911,-0.228011,0.179911,-0.223017,0.145704
5.42338,-0.202964,0.196516,-0.195285,0.168191
5.55566,-0.176022,0.208585,-0.165821,0.186217
5.68794,-0.147782,0.216205,-0.135264,0.199745
5.82021,-0.118824,0.219539,-0.104233,0.208819
5.95249,-0.0897019,0.21881,-0.0733158,0.213562
6.08477,-0.0609365,0.214301,-0.0430604,0.214165
6.21705,-0.0330074,0.206341,-0.0139679,0.210883
6.34932,-0.00634788,0.195297,0.0135136,0.204024
6.4816,0.0186594,0.181566,0.0389937,0.193938
6.61388,0.0416863,0.165566,0.0621426,0.181015
6.74616,0.0624608,0.147728,0.0826938,0.165667
6.87843,0.0807684,0.128484,0.100444,0.148326
7.01071,0.096452,0.108265,0.115255,0.129431
7.14299,0.109411,0.0874891,0.127047,0.10942
7.27527,0.119598,0.0665564,0.135803,0.0887245
7.40755,0.127018,0.0458435,0.141559,0.0677599
7.53982,0.131726,0.0256985,0.144404,0.0469198
7.6721,0.133817,0.00643612,0.144474,0.0265707
7.80438,0.133429,-0.0116649,0.141944,0.0070467
7.93666,0.130731,-0.0283646,0.137026,-0.0113543
8.06893,0.125925,-0.0434634,0.129962,-0.0283739
8.20121,0.119233,-0.0568032,0.121015,-0.0437944
8.33349,0.110897,-0.0682668,0.110468,-0.0574415
8.46577,0.101172,-0.0777777,0.0986111,-0.0691834
8.59804,0.0903204,-0.0852987,0.0857421,-0.0789312
8.73032,0.078606,-0.0908297,0.0721566,-0.0866374
8.8626,0.066291,-0.0944057,0.0581445,-0.0922943
8.99488,0.0536305,-0.0960932,0.0439848,-0.0959314
9.12715,0.040869,-0.0959878,0.0299412,-0.0976126
9.25943,0.0282364,-0.0942099,0.0162586,-0.097433
9.39171,0.0159453,-0.0909011,0.0031597,-0.0955148
9.52399,0.00418807,-0.0862206,-0.00915765,-0.0920037
9.65626,-0.00686482,-0.080341,-0.0205222,-0.0870649
9.78854,-0.0170666,-0.0734446,-0.0307908,-0.0808783
9.92082,-0.026295,-0.0657191,-0.0398492,-0.0736349
10.0531,-0.0344529,-0.0573548,-0.0476121,-0.0655325
10.1854,-0.0414685,-0.04854,-0.054023,-0.0567715
10.3177,-0.0472944,-0.039459,-0.0590533,-0.0475515
10.4499,-0.0519075,-0.0302881,-0.062701,-0.0380675
10.5822,-0.0553073,-0.0211938,-0.064989,-0.0285067
10.7145,-0.0575145,-0.0123302,-0.0659632,-0.0190458
10.8468,-0.0585693,-0.00383706,-0.0656903,-0.00984828
10.979,-0.0585296,0.0041615,-0.0642549,-0.0010625
11.1113,-0.0574684,0.0115582,-0.0617573,0.00718009
11.2436,-0.0554718,0.0182635,-0.0583103,0.0147662
11.3759,-0.0526367,0.0242057,-0.0540365,0.0216016
11.5082,-0.0490681,0.0293314,-0.0490657,0.0276115
11.6404,-0.0448769,0.0336049,-0.0435317,0.0327409
11.7727,-0.0401777,0.0370077,-0.0375699,0.0369539
11.905,-0.0350863,0.0395379,-0.0313149,0.0402335
12.0373,-0.0297177,0.041209,-0.0248978,0.0425805
12.1695,-0.0241842,0.0420485,-0.0184441,0.0440126
12.3018,-0.0185936,0.0420968,-0.0120722,0.0445624
12.4341,-0.0130473,0.0414052,-0.00589119,0.0442767
