Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.132278,0.132278,1,0.131892,0.991264
0.264555,0.264555,0.982503,0.26148,0.965209
0.396833,0.394518,0.947508,0.386499,0.92229
0.52911,0.519852,0.895322,0.504766,0.863256
0.661388,0.638283,0.826557,0.614213,0.78914
0.793666,0.747618,0.742127,0.712928,0.701237
0.925943,0.845785,0.643233,0.799188,0.601081
1.05822,0.93087,0.531355,0.871484,0.490423
1.1905,1.00116,0.408222,0.928554,0.371197
1.32278,1.05516,0.275791,0.9694,0.245485
1.45505,1.09164,0.136218,0.993309,0.115485
1.58733,1.10966,-0.00818133,0.999863,-0.016534
1.71961,1.10857,-0.154964,0.988948,-0.148264
1.85189,1.08807,-0.301603,0.960754,-0.277403
1.98416,1.04818,-0.445531,0.915773,-0.401696
2.11644,0.989245,-0.584182,0.854793,-0.51897
2.24872,0.911971,-0.715037,0.778877,-0.627176
2.381,0.817388,-0.83567,0.689353,-0.724425
2.51327,0.706848,-0.943792,0.587785,-0.809017
2.64555,0.582005,-1.03729,0.475947,-0.879474
2.77783,0.444795,-1.11428,0.355794,-0.934565
2.91011,0.2974,-1.17311,0.229424,-0.973327
3.04238,0.142224,-1.21245,0.0990454,-0.995083
3.17466,-0.0181569,-1.23127,-0.0330634,-0.999453
3.30694,-0.181026,-1.22887,-0.164595,-0.986361
3.43922,-0.343577,-1.20492,-0.29325,-0.956036
3.5715,-0.502961,-1.15947,-0.416782,-0.909006
3.70377,-0.656333,-1.09294,-0.533032,-0.846095
3.83605,-0.800905,-1.00612,-0.639969,-0.768401
3.96833,-0.933993,-0.900182,-0.735724,-0.677281
4.10061,-1.05307,-0.776635,-0.818625,-0.574328
4.23288,-1.1558,-0.637338,-0.887223,-0.461341
4.36516,-1.2401,-0.484452,-0.940319,-0.340293
4.49744,-1.30419,-0.320414,-0.976987,-0.2133
4.62972,-1.34657,-0.1479,-0.996585,-0.0825789
4.76199,-1.36613,0.0302213,-0.99877,0.0495841
4.89427,-1.36214,0.21093,-0.983505,0.180881
5.02655,-1.33423,0.39111,-0.951056,0.309017
5.15883,-1.2825,0.567599,-0.901991,0.431755
5.2911,-1.20742,0.737245,-0.837166,0.546948
5.42338,-1.1099,0.89696,-0.757715,0.652586
5.55566,-0.99125,1.04377,-0.665024,0.746822
5.68794,-0.853182,1.17489,-0.560715,0.828009
5.82021,-0.69777,1.28775,-0.446608,0.89473
5.95249,-0.527429,1.38005,-0.324699,0.945817
6.08477,-0.344879,1.44982,-0.197117,0.98038
6.21705,-0.153101,1.49544,-0.0660904,0.997814
6.34932,0.0447121,1.51569,0.0660907,0.997814
6.4816,0.245204,1.50977,0.197118,0.98038
6.61388,0.444913,1.47734,0.3247,0.945817
6.74616,0.640332,1.41849,0.446609,0.894729
6.87843,0.827966,1.33379,0.560715,0.828009
7.01071,1.0044,1.22426,0.665025,0.746821
7.14299,1.16634,1.09141,0.757715,0.652585
7.27527,1.31071,0.937125,0.837167,0.546948
7.40755,1.43467,0.763748,0.901991,0.431754
7.53982,1.53569,0.573973,0.951057,0.309017
7.6721,1.61162,0.370835,0.983505,0.18088
7.80438,1.66067,0.157654,0.99877,0.0495833
7.93666,1.68153,-0.0620154,0.996584,-0.0825797
8.06893,1.67332,-0.284444,0.976987,-0.2133
8.20121,1.6357,-0.505787,0.940319,-0.340294
8.33349,1.56879,-0.722153,0.887223,-0.461342
8.46577,1.47327,-0.929669,0.818625,-0.574329
8.59804,1.35029,-1.12455,0.735724,-0.677282
8.73032,1.20154,-1.30316,0.639968,-0.768401
8.8626,1.02916,-1.4621,0.533032,-0.846095
8.99488,0.835759,-1.59824,0.416782,-0.909007
9.12715,0.624348,-1.70879,0.293249,-0.956036
9.25943,0.398314,-1.79137,0.164594,-0.986361
9.39171,0.161355,-1.84406,0.0330626,-0.999453
9.52399,-0.0825729,-1.86541,-0.0990462,-0.995083
9.65626,-0.329324,-1.85448,-0.229424,-0.973326
9.78854,-0.574631,-1.81092,-0.355794,-0.934564
9.92082,-0.814175,-1.73491,-0.475948,-0.879474
10.0531,-1.04367,-1.62721,-0.587785,-0.809017
10.1854,-1.25891,-1.48916,-0.689354,-0.724425
10.3177,-1.45589,-1.32263,-0.778878,-0.627176
10.4499,-1.63085,-1.13005,-0.854793,-0.518969
10.5822,-1.78033,-0.914328,-0.915774,-0.401695
10.7145,-1.90127,-0.678831,-0.960754,-0.277402
10.8468,-1.99107,-0.427335,-0.988948,-0.148263
10.979,-2.04759,-0.163962,-0.999863,-0.0165334
11.1113,-2.06928,0.106889,-0.993309,0.115485
11.2436,-2.05514,0.380609,-0.9694,0.245486
11.3759,-2.0048,0.652458,-0.928554,0.371197
11.5082,-1.91849,0.917648,-0.871484,0.490424
11.6404,-1.79711,1.17142,-0.799187,0.601082
11.7727,-1.64215,1.40914,-0.712928,0.701237
11.905,-1.45576,1.62636,-0.614212,0.789141
12.0373,-1.24063,1.81892,-0.504765,0.863257
12.1695,-1.00002,1.98303,-0.386499,0.92229
12.3018,-0.737713,2.11531,-0.261479,0.965209
12.4341,-0.457905,2.21289,-0.131892,0.991264
