Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.132278,0.132278,0.991251,0.131892,0.991264
0.264555,0.262241,0.965082,0.26148,0.965209
0.396833,0.387605,0.92195,0.386499,0.92229
0.52911,0.506167,0.862613,0.504766,0.863256
0.661388,0.615843,0.788111,0.614213,0.78914
0.793666,0.714705,0.699754,0.712928,0.701237
0.925943,0.801014,0.599093,0.799188,0.601081
1.05822,0.873253,0.487895,0.871484,0.490423
1.1905,0.930151,0.368115,0.928554,0.371197
1.32278,0.970706,0.241856,0.9694,0.245485
1.45505,0.994206,0.111338,0.993309,0.115485
1.58733,1.00024,-0.0211475,0.999863,-0.016534
1.71961,0.988688,-0.153271,0.988948,-0.148264
1.85189,0.959764,-0.282712,0.960754,-0.277403
1.98416,0.91397,-0.407193,0.915773,-0.401696
2.11644,0.852112,-0.524529,0.854793,-0.51897
2.24872,0.775274,-0.632655,0.778877,-0.627176
2.381,0.684805,-0.729672,0.689353,-0.724425
2.51327,0.582294,-0.813872,0.587785,-0.809017
2.64555,0.469543,-0.883777,0.475947,-0.879474
2.77783,0.348531,-0.938155,0.355794,-0.934565
2.91011,0.221385,-0.97605,0.229424,-0.973327
3.04238,0.0903389,-0.996795,0.0990454,-0.995083
3.17466,-0.0423051,-1.00002,-0.0330634,-0.999453
3.30694,-0.174216,-0.985679,-0.164595,-0.986361
3.43922,-0.303075,-0.954011,-0.29325,-0.956036
3.5715,-0.426618,-0.905575,-0.416782,-0.909006
3.70377,-0.542673,-0.84122,-0.533032,-0.846095
3.83605,-0.6492,-0.762077,-0.639969,-0.768401
3.96833,-0.744326,-0.669536,-0.735724,-0.677281
4.10061,-0.826378,-0.56522,-0.818625,-0.574328
4.23288,-0.893915,-0.450964,-0.887223,-0.461341
4.36516,-0.945746,-0.328774,-0.940319,-0.340293
4.49744,-0.980962,-0.200797,-0.976987,-0.2133
4.62972,-0.998941,-0.0692806,-0.996585,-0.0825789
4.76199,-0.999365,0.063463,-0.99877,0.0495841
4.89427,-0.982228,0.195101,-0.983505,0.180881
5.02655,-0.947827,0.323321,-0.951056,0.309017
5.15883,-0.896766,0.445869,-0.901991,0.431755
5.2911,-0.829942,0.56059,-0.837166,0.546948
5.42338,-0.748528,0.665469,-0.757715,0.652586
5.55566,-0.653953,0.75866,-0.665024,0.746822
5.68794,-0.547878,0.838526,-0.560715,0.828009
5.82021,-0.432166,0.903662,-0.446608,0.89473
5.95249,-0.308851,0.952922,-0.324699,0.945817
6.08477,-0.180099,0.985439,-0.197117,0.98038
6.21705,-0.0481718,1.00064,-0.0660904,0.997814
6.34932,0.084612,0.998259,0.0660907,0.997814
6.4816,0.215919,0.978333,0.197118,0.98038
6.61388,0.343442,0.941213,0.3247,0.945817
6.74616,0.464938,0.887549,0.446609,0.894729
6.87843,0.578274,0.818283,0.560715,0.828009
7.01071,0.681455,0.734632,0.665025,0.746821
7.14299,0.772668,0.638063,0.757715,0.652585
7.27527,0.85031,0.530274,0.837167,0.546948
7.40755,0.913014,0.413158,0.901991,0.431754
7.53982,0.959678,0.288772,0.951057,0.309017
7.6721,0.98948,0.159302,0.983505,0.18088
7.80438,1.0019,0.0270221,0.99877,0.0495833
7.93666,0.996705,-0.105743,0.996584,-0.0825797
8.06893,0.973998,-0.236659,0.976987,-0.2133
8.20121,0.934172,-0.363427,0.940319,-0.340294
8.33349,0.877926,-0.483817,0.887223,-0.461342
8.46577,0.806247,-0.595715,0.818625,-0.574329
8.59804,0.720394,-0.697151,0.735724,-0.677282
8.73032,0.621874,-0.786344,0.639968,-0.768401
8.8626,0.512417,-0.861724,0.533032,-0.846095
8.99488,0.393948,-0.921967,0.416782,-0.909007
9.12715,0.268545,-0.966011,0.293249,-0.956036
9.25943,0.138414,-0.993083,0.164594,-0.986361
9.39171,0.00584087,-1.0027,0.0330626,-0.999453
9.52399,-0.126845,-0.994704,-0.0990462,-0.995083
9.65626,-0.257313,-0.969223,-0.229424,-0.973326
9.78854,-0.383268,-0.926706,-0.355794,-0.934564
9.92082,-0.502497,-0.867901,-0.475948,-0.879474
10.0531,-0.612905,-0.793839,-0.587785,-0.809017
10.1854,-0.71255,-0.70582,-0.689354,-0.724425
10.3177,-0.79968,-0.605391,-0.778878,-0.627176
10.4499,-0.872764,-0.494315,-0.854793,-0.518969
10.5822,-0.930515,-0.374543,-0.915774,-0.401695
10.7145,-0.971918,-0.24818,-0.960754,-0.277402
10.8468,-0.996244,-0.117446,-0.988948,-0.148263
10.979,-1.00306,0.0153623,-0.999863,-0.0165334
11.1113,-0.992256,0.147911,-0.993309,0.115485
11.2436,-0.964009,0.27787,-0.9694,0.245486
11.3759,-0.91882,0.402956,-0.928554,0.371197
11.5082,-0.857479,0.52097,-0.871484,0.490424
11.6404,-0.781065,0.629837,-0.799187,0.601082
11.7727,-0.690918,0.727644,-0.712928,0.701237
11.905,-0.588622,0.812671,-0.614212,0.789141
12.0373,-0.475975,0.883423,-0.504765,0.863257
12.1695,-0.354953,0.938655,-0.386499,0.92229
12.3018,-0.227685,0.977395,-0.261479,0.965209
12.4341,-0.0964055,0.998962,-0.131892,0.991264
