Time,Position,Momentum,Position-A,Momentum-A
0,0,1,0,1
0.128228,0.128228,0.991779,0.127877,0.99179
0.256457,0.254348,0.96725,0.253655,0.967295
0.384685,0.376286,0.926818,0.375267,0.926917
0.512913,0.492037,0.871146,0.490718,0.871319
0.641141,0.599697,0.80115,0.598111,0.801414
0.76937,0.697497,0.717982,0.695683,0.718349
0.897598,0.783828,0.623008,0.781832,0.62349
1.02583,0.857271,0.51779,0.855143,0.518393
1.15405,0.916619,0.404059,0.914413,0.404783
1.28228,0.960895,0.283684,0.958668,0.284527
1.41051,0.989371,0.158644,0.987182,0.1596
1.53874,1.00158,0.0309959,0.999486,0.0320515
1.66697,0.997321,-0.0971619,0.995379,-0.0960231
1.7952,0.976662,-0.223722,0.974928,-0.222521
1.92342,0.939946,-0.346604,0.938468,-0.345365
2.05165,0.887774,-0.463786,0.886599,-0.462538
2.17988,0.821004,-0.573343,0.820172,-0.572117
2.30811,0.740736,-0.673473,0.740278,-0.672301
2.43634,0.648288,-0.762529,0.648228,-0.761446
2.56457,0.54518,-0.839047,0.545535,-0.838088
2.69279,0.433109,-0.901769,0.433884,-0.900969
2.82102,0.313916,-0.949664,0.315108,-0.949056
2.94925,0.189561,-0.981944,0.191158,-0.981559
3.07748,0.0620897,-0.998079,0.0640701,-0.997945
3.20571,-0.0664027,-0.997802,-0.0640703,-0.997945
3.33394,-0.193803,-0.981119,-0.191159,-0.981559
3.46216,-0.318017,-0.948304,-0.315108,-0.949056
3.59039,-0.437002,-0.899897,-0.433884,-0.900969
3.71862,-0.548802,-0.836693,-0.545535,-0.838088
3.84685,-0.651577,-0.759732,-0.648228,-0.761446
3.97508,-0.74364,-0.670279,-0.740278,-0.672301
4.1033,-0.823475,-0.569804,-0.820172,-0.572116
4.23153,-0.88977,-0.459961,-0.886599,-0.462538
4.35976,-0.941435,-0.342555,-0.938468,-0.345365
4.48799,-0.97762,-0.219517,-0.974928,-0.222521
4.61622,-0.997731,-0.0928686,-0.995379,-0.0960227
4.74445,-1.00144,0.0353064,-0.999486,0.0320518
4.87267,-0.988677,0.162901,-0.987182,0.1596
5.0009,-0.95966,0.287817,-0.958668,0.284528
5.12913,-0.914864,0.408,-0.914412,0.404784
5.25736,-0.855026,0.521475,-0.855143,0.518393
5.38559,-0.781129,0.626376,-0.781831,0.62349
5.51382,-0.694388,0.720977,-0.695682,0.71835
5.64204,-0.596229,0.803724,-0.59811,0.801414
5.77027,-0.488267,0.873256,-0.490718,0.871319
5.8985,-0.372277,0.928429,-0.375267,0.926917
6.02673,-0.250166,0.968336,-0.253654,0.967295
6.15496,-0.123941,0.992322,-0.127877,0.99179
6.28319,0.00432171,0.999991,1.74846e-07,1
6.41141,0.132513,0.991218,0.127877,0.99179
6.53964,0.258526,0.966147,0.253655,0.967295
6.66787,0.380288,0.92519,0.375267,0.926917
6.7961,0.495797,0.86902,0.490718,0.871319
6.92433,0.603154,0.798562,0.598111,0.801413
7.05256,0.700593,0.714973,0.695683,0.718349
7.18078,0.786513,0.619629,0.781832,0.62349
7.30901,0.859501,0.514096,0.855143,0.518392
7.43724,0.918357,0.40011,0.914413,0.404783
7.56547,0.962112,0.279546,0.958668,0.284527
7.6937,0.990048,0.154385,0.987182,0.1596
7.82192,1.0017,0.026685,0.999486,0.0320515
7.95015,0.996891,-0.101453,0.995379,-0.0960235
8.07838,0.975687,-0.227923,0.974928,-0.222521
8.20661,0.938439,-0.350646,0.938468,-0.345365
8.33484,0.885761,-0.467603,0.886599,-0.462539
8.46307,0.818519,-0.576871,0.820172,-0.572117
8.59129,0.737819,-0.676655,0.740278,-0.672301
8.71952,0.644987,-0.765312,0.648228,-0.761446
8.84775,0.541549,-0.841386,0.545535,-0.838088
8.97598,0.429208,-0.903625,0.433883,-0.900969
9.10421,0.309809,-0.951006,0.315108,-0.949056
9.23244,0.185316,-0.982751,0.191158,-0.981559
9.36066,0.0577759,-0.998336,0.0640697,-0.997945
9.48889,-0.070714,-0.997507,-0.0640707,-0.997945
9.61712,-0.198041,-0.980276,-0.191159,-0.981559
9.74535,-0.322112,-0.946927,-0.315109,-0.949056
9.87358,-0.440887,-0.898008,-0.433884,-0.900969
10.0018,-0.552412,-0.834323,-0.545535,-0.838088
10.13,-0.654855,-0.75692,-0.648228,-0.761446
10.2583,-0.746529,-0.667072,-0.740279,-0.6723
10.3865,-0.825929,-0.566255,-0.820173,-0.572116
10.5147,-0.891749,-0.456128,-0.8866,-0.462538
10.6429,-0.942906,-0.3385,-0.938469,-0.345364
10.7712,-0.97856,-0.215307,-0.974928,-0.22252
10.8994,-0.998123,-0.0885737,-0.995379,-0.0960225
11.0276,-1.00128,0.039616,-0.999486,0.032052
11.1559,-0.987964,0.167154,-0.987182,0.1596
11.2841,-0.958407,0.291944,-0.958668,0.284528
11.4123,-0.913093,0.411934,-0.914413,0.404783
11.5405,-0.852764,0.52515,-0.855143,0.518393
11.6688,-0.778414,0.629732,-0.781831,0.623491
11.797,-0.691265,0.723959,-0.695682,0.71835
11.9252,-0.59275,0.806283,-0.59811,0.801414
12.0535,-0.484489,0.875349,-0.490717,0.871319
12.1817,-0.368261,0.930022,-0.375266,0.926917
12.3099,-0.245979,0.969404,-0.253654,0.967295
12.4381,-0.119651,0.992846,-0.127877,0.99179
