#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Equilibration run
#  Input sample: ../Task2/Step1_Startup/sample12.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sampleT94.4.dat
# Number of steps:     800, time step: 0.0046, total time:      3.6800
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.789386      1.184079     -4.950278     -3.766199      0.539079
      2      0.791606      1.187408     -4.953635     -3.766227      0.526470
      3      0.794045      1.191067     -4.957316     -3.766249      0.512718
      4      0.796444      1.194666     -4.960928     -3.766262      0.499406
      5      0.798619      1.197928     -4.964196     -3.766267      0.486839
      6      0.800466      1.200699     -4.966964     -3.766265      0.476267
      7      0.801951      1.202926     -4.969186     -3.766260      0.467551
      8      0.803095      1.204643     -4.970892     -3.766249      0.460673
      9      0.803967      1.205951     -4.972189     -3.766237      0.455247
     10      0.804671      1.207007     -4.973229     -3.766222      0.450171
     11      0.805326      1.207988     -4.974197     -3.766209      0.445608
     12      0.806046      1.209069     -4.975266     -3.766198      0.441211
     13      0.806913      1.210369     -4.976562     -3.766193      0.436304
     14      0.807950      1.211925     -4.978120     -3.766195      0.430691
     15      0.809131      1.213697     -4.979897     -3.766201      0.424448
     16      0.810387      1.215581     -4.981789     -3.766208      0.417537
     17      0.811627      1.217441     -4.983656     -3.766215      0.411376
     18      0.812770      1.219155     -4.985375     -3.766220      0.405494
     19      0.813752      1.220628     -4.986851     -3.766223      0.400702
     20      0.814538      1.221807     -4.988030     -3.766223      0.397568
     21      0.815119      1.222678     -4.988901     -3.766223      0.395817
     22      0.815490      1.223235     -4.989461     -3.766225      0.395877
     23      0.815622      1.223432     -4.989666     -3.766233      0.397712
     24      0.815424      1.223136     -4.989384     -3.766247      0.401669
     25      0.814748      1.222121     -4.988389     -3.766268      0.408740
     26      0.813399      1.220098     -4.986388     -3.766291      0.419426
     27      0.811185      1.216777     -4.983085     -3.766308      0.436275
