#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Direct sampling of S(k)
#  Input sample: ../Task2/Step1_Startup/sampleT94.4.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sample22.dat
# Number of steps:    9000, time step: 0.0046, total time:     41.4000
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.745842      1.118763     -4.926184     -3.807422      0.647309
      2      0.749455      1.124182     -4.931645     -3.807463      0.629730
      3      0.753126      1.129689     -4.937187     -3.807497      0.611880
      4      0.756471      1.134706     -4.942227     -3.807521      0.595215
      5      0.759222      1.138834     -4.946362     -3.807528      0.582096
      6      0.761254      1.141880     -4.949408     -3.807527      0.572492
      7      0.762557      1.143835     -4.951349     -3.807514      0.567057
      8      0.763231      1.144847     -4.952342     -3.807495      0.564423
      9      0.763461      1.145192     -4.952663     -3.807471      0.564147
     10      0.763481      1.145222     -4.952667     -3.807446      0.566037
     11      0.763526      1.145288     -4.952714     -3.807426      0.567397
     12      0.763775      1.145662     -4.953078     -3.807416      0.567970
     13      0.764321      1.146481     -4.953897     -3.807416      0.567184
     14      0.765162      1.147743     -4.955165     -3.807422      0.565252
     15      0.766221      1.149331     -4.956766     -3.807435      0.562569
     16      0.767368      1.151052     -4.958499     -3.807446      0.558961
     17      0.768452      1.152678     -4.960138     -3.807460      0.556554
     18      0.769329      1.153993     -4.961465     -3.807472      0.555042
     19      0.769887      1.154831     -4.962312     -3.807481      0.555086
     20      0.770042      1.155063     -4.962551     -3.807488      0.556395
     21      0.769728      1.154591     -4.962087     -3.807495      0.560239
     22      0.768900      1.153350     -4.960851     -3.807501      0.566693
     23      0.767550      1.151325     -4.958825     -3.807500      0.575108
     24      0.765744      1.148615     -4.956101     -3.807486      0.585381
     25      0.763672      1.145508     -4.952965     -3.807457      0.596826
     26      0.761668      1.142502     -4.949920     -3.807417      0.607738
     27      0.760171      1.140256     -4.947634     -3.807378      0.615911
     28      0.759598      1.139397     -4.946750     -3.807353      0.618843
     29      0.760195      1.140293     -4.947649     -3.807357      0.616108
     30      0.761932      1.142898     -4.950285     -3.807387      0.608048
     31      0.764523      1.146785     -4.954210     -3.807426      0.595434
     32      0.767555      1.151332     -4.958795     -3.807463      0.580210
     33      0.770640      1.155959     -4.963445     -3.807486      0.565819
     34      0.773503      1.160254     -4.967746     -3.807492      0.552157
     35      0.775998      1.163997     -4.971490     -3.807493      0.540215
     36      0.778061      1.167092     -4.974586     -3.807494      0.530204
     37      0.779651      1.169476     -4.976973     -3.807496      0.522667
     38      0.780714      1.171071     -4.978571     -3.807500      0.518363
     39      0.781188      1.171782     -4.979283     -3.807501      0.517380
     40      0.781036      1.171554     -4.979050     -3.807497      0.519113
     41      0.780292      1.170438     -4.977922     -3.807483      0.523806
     42      0.779088      1.168631     -4.976090     -3.807459      0.531068
     43      0.777633      1.166449     -4.973883     -3.807434      0.540397
     44      0.776162      1.164243     -4.971656     -3.807412      0.549330
     45      0.774865      1.162297     -4.969702     -3.807405      0.558073
     46      0.773826      1.160739     -4.968146     -3.807408      0.565391
     47      0.773013      1.159519     -4.966940     -3.807421      0.571951
     48      0.772300      1.158450     -4.965887     -3.807437      0.578005
     49      0.771534      1.157302     -4.964748     -3.807447      0.583763
     50      0.770611      1.155917     -4.963363     -3.807446      0.590378
     51      0.769525      1.154287     -4.961722     -3.807435      0.598103
     52      0.768355      1.152532     -4.959955     -3.807423      0.605668
     53      0.767207      1.150811     -4.958228     -3.807417      0.612885
     54      0.766136      1.149205     -4.956625     -3.807420      0.620131
     55      0.765095      1.147642     -4.955076     -3.807435      0.627287
     56      0.763943      1.145915     -4.953368     -3.807453      0.635182
     57      0.762512      1.143768     -4.951233     -3.807465      0.644086
     58      0.760674      1.141012     -4.948477     -3.807465      0.655006
     59      0.758415      1.137623     -4.945074     -3.807451      0.668295
     60      0.755848      1.133773     -4.941200     -3.807428      0.683328
     61      0.753196      1.129795     -4.937193     -3.807399      0.698347
     62      0.750726      1.126089     -4.933464     -3.807375      0.712618
     63      0.748671      1.123007     -4.930369     -3.807362      0.724551
     64      0.747171      1.120757     -4.928119     -3.807362      0.734161
     65      0.746240      1.119360     -4.926735     -3.807374      0.741044
     66      0.745786      1.118678     -4.926070     -3.807391      0.745483
     67      0.745667      1.118500     -4.925907     -3.807407      0.748451
     68      0.745758      1.118637     -4.926055     -3.807417      0.749241
     69      0.745993      1.118990     -4.926408     -3.807418      0.748705
     70      0.746386      1.119579     -4.926992     -3.807413      0.746455
     71      0.747027      1.120541     -4.927944     -3.807403      0.742935
     72      0.748041      1.122061     -4.929454     -3.807392      0.737366
     73      0.749516      1.124274     -4.931668     -3.807395      0.728970
     74      0.751439      1.127159     -4.934568     -3.807409      0.717709
     75      0.753666      1.130499     -4.937933     -3.807433      0.704346
     76      0.755950      1.133926     -4.941380     -3.807454      0.691364
     77      0.758042      1.137063     -4.944534     -3.807471      0.679248
     78      0.759769      1.139654     -4.947128     -3.807474      0.668703
     79      0.761063      1.141594     -4.949062     -3.807467      0.661039
     80      0.761929      1.142894     -4.950357     -3.807463      0.655334
     81      0.762395      1.143592     -4.951054     -3.807461      0.651480
     82      0.762464      1.143696     -4.951162     -3.807466      0.649993
     83      0.762106      1.143158     -4.950633     -3.807474      0.650504
     84      0.761267      1.141900     -4.949383     -3.807484      0.653643
     85      0.759898      1.139847     -4.947337     -3.807490      0.659218
     86      0.757980      1.136970     -4.944461     -3.807491      0.667615
     87      0.755542      1.133313     -4.940801     -3.807488      0.678343
     88      0.752658      1.128988     -4.936468     -3.807481      0.692169
     89      0.749442      1.124163     -4.931634     -3.807471      0.706780
     90      0.746040      1.119059     -4.926516     -3.807457      0.722592
     91      0.742624      1.113937     -4.921378     -3.807442      0.738292
     92      0.739380      1.109070     -4.916497     -3.807427      0.752968
     93      0.736492      1.104738     -4.912151     -3.807413      0.765195
     94      0.734157      1.101235     -4.908630     -3.807395      0.774311
     95      0.732585      1.098878     -4.906255     -3.807377      0.780198
     96      0.731980      1.097970     -4.905336     -3.807366      0.780489
     97      0.732450      1.098675     -4.906050     -3.807375      0.775880
     98      0.733911      1.100867     -4.908272     -3.807405      0.765829
     99      0.736058      1.104087     -4.911535     -3.807448      0.752489
    100      0.738465      1.107697     -4.915182     -3.807485      0.737134
    101      0.740758      1.111136     -4.918638     -3.807502      0.722586
    102      0.742745      1.114118     -4.921614     -3.807496      0.708953
    103      0.744446      1.116670     -4.924147     -3.807477      0.696429
    104      0.746028      1.119042     -4.926497     -3.807455      0.684878
    105      0.747693      1.121540     -4.928976     -3.807436      0.672495
    106      0.749600      1.124400     -4.931828     -3.807429      0.658684
    107      0.751815      1.127723     -4.935153     -3.807430      0.643793
    108      0.754313      1.131469     -4.938910     -3.807441      0.627117
    109      0.756971      1.135457     -4.942915     -3.807457      0.610383
    110      0.759599      1.139399     -4.946877     -3.807478      0.593672
    111      0.761980      1.142970     -4.950465     -3.807495      0.578147
    112      0.763924      1.145886     -4.953389     -3.807504      0.564947
    113      0.765332      1.147998     -4.955496     -3.807498      0.554536
    114      0.766241      1.149362     -4.956840     -3.807478      0.545960
    115      0.766807      1.150211     -4.957661     -3.807450      0.539392
    116      0.767229      1.150844     -4.958275     -3.807431      0.533583
    117      0.767648      1.151471     -4.958900     -3.807429      0.528251
    118      0.768062      1.152094     -4.959537     -3.807443      0.522680
    119      0.768314      1.152471     -4.959938     -3.807468      0.518342
    120      0.768136      1.152204     -4.959697     -3.807494      0.516395
    121      0.767263      1.150894     -4.958405     -3.807511      0.517794
    122      0.765531      1.148297     -4.955808     -3.807511      0.524535
    123      0.762935      1.144403     -4.951902     -3.807499      0.534959
    124      0.759632      1.139447     -4.946919     -3.807472      0.549413
    125      0.755913      1.133870     -4.941308     -3.807438      0.565365
    126      0.752161      1.128242     -4.935641     -3.807399      0.581801
    127      0.748792      1.123188     -4.930550     -3.807361      0.596217
    128      0.746206      1.119309     -4.926639     -3.807330      0.607197
    129      0.744736      1.117104     -4.924412     -3.807307      0.612010
    130      0.744599      1.116898     -4.924199     -3.807301      0.610878
    131      0.745860      1.118790     -4.926097     -3.807307      0.602739
    132      0.748432      1.122648     -4.929973     -3.807325      0.587740
    133      0.752091      1.128137     -4.935489     -3.807352      0.567394
    134      0.756520      1.134780     -4.942166     -3.807385      0.543481
    135      0.761348      1.142022     -4.949442     -3.807421      0.517701
    136      0.766189      1.149284     -4.956737     -3.807453      0.491737
    137      0.770682      1.156023     -4.963502     -3.807479      0.467940
    138      0.774531      1.161797     -4.969293     -3.807496      0.448575
    139      0.777534      1.166300     -4.973806     -3.807506      0.433813
    140      0.779586      1.169379     -4.976886     -3.807507      0.424648
    141      0.780670      1.171005     -4.978510     -3.807505      0.420194
    142      0.780812      1.171219     -4.978721     -3.807503      0.422078
    143      0.780083      1.170125     -4.977619     -3.807494      0.428882
    144      0.778603      1.167904     -4.975384     -3.807480      0.440734
    145      0.776559      1.164839     -4.972296     -3.807457      0.455113
    146      0.774219      1.161329     -4.968758     -3.807429      0.471533
    147      0.771878      1.157817     -4.965224     -3.807407      0.488222
    148      0.769781      1.154671     -4.962068     -3.807397      0.504566
    149      0.768056      1.152084     -4.959487     -3.807403      0.518585
    150      0.766675      1.150013     -4.957436     -3.807424      0.532059
    151      0.765467      1.148201     -4.955651     -3.807451      0.545285
    152      0.764189      1.146283     -4.953757     -3.807474      0.558046
    153      0.762627      1.143941     -4.951426     -3.807485      0.572679
    154      0.760679      1.141018     -4.948500     -3.807482      0.588679
    155      0.758369      1.137554     -4.945025     -3.807471      0.606606
    156      0.755816      1.133724     -4.941185     -3.807461      0.625305
    157      0.753164      1.129746     -4.937196     -3.807451      0.644043
    158      0.750562      1.125843     -4.933283     -3.807440      0.661792
    159      0.748167      1.122251     -4.929678     -3.807427      0.677844
    160      0.746154      1.119231     -4.926643     -3.807413      0.691815
    161      0.744706      1.117058     -4.924456     -3.807398      0.702266
    162      0.743978      1.115966     -4.923357     -3.807391      0.707868
    163      0.744034      1.116051     -4.923446     -3.807396      0.709091
    164      0.744805      1.117208     -4.924624     -3.807416      0.705790
    165      0.746092      1.119138     -4.926583     -3.807444      0.699303
    166      0.747610      1.121414     -4.928885     -3.807471      0.691807
    167      0.749082      1.123623     -4.931109     -3.807486      0.682889
    168      0.750354      1.125531     -4.933014     -3.807483      0.674727
    169      0.751446      1.127169     -4.934632     -3.807463      0.667374
    170      0.752520      1.128780     -4.936218     -3.807438      0.659608
    171      0.753780      1.130669     -4.938088     -3.807419      0.650527
    172      0.755355      1.133033     -4.940444     -3.807411      0.638922
    173      0.757274      1.135911     -4.943324     -3.807413      0.625952
    174      0.759474      1.139211     -4.946629     -3.807418      0.612003
    175      0.761841      1.142761     -4.950186     -3.807424      0.596930
    176      0.764249      1.146373     -4.953807     -3.807433      0.581925
    177      0.766572      1.149858     -4.957298     -3.807441      0.567768
    178      0.768683      1.153025     -4.960475     -3.807450      0.554401
    179      0.770445      1.155668     -4.963130     -3.807462      0.543449
    180      0.771698      1.157547     -4.965024     -3.807477      0.534853
    181      0.772267      1.158400     -4.965892     -3.807492      0.530289
    182      0.771996      1.157994     -4.965493     -3.807500      0.530362
    183      0.770810      1.156216     -4.963712     -3.807497      0.535167
